name,int_ktons,dom_ktons,sum_ktons,lon,lat,code
"Vancouver, Metro",96516.3,11058.9,107575,-123.082,49.2501,VAN
Prince Rupert,18780.4,0,18780.4,-130.321,54.315,PRR
"Vancouver Island, East Coast",711.7,4422.3,5134,-124.841,49.2612,EVC
Howe Sound,40.9,3471.8,3512.7,-123.276,49.4725,HWS
Crofton,1016.3,1191.9,2208.2,-123.646,48.8638,CRO
Nanaimo,1723.5,429.2,2152.7,-123.94,49.1659,NNO
Beale Cove,1077.8,498.5,1576.3,-124.56,49.7357,BCV
Mcneill,1571.7,0,1571.7,-127.085,50.5901,PMA
Alberni,901.8,503.7,1405.5,-124.806,49.2339,PAB
Texada Island,190.6,1091,1281.6,-124.412,49.6597,TEX
Kitimat,1068.7,6.8,1075.5,-128.6683122419,54.0053363521,KTM
Squamish,967.1,50.6,1017.7,-123.156,49.7016,SQA
