Country,year,n
China,2014,10540749.5924453
United States of America,2014,5334529.74162848
India,2014,2341896.76636633
Russian Federation,2014,1766427.26724466
Japan,2014,1278921.81359182
Germany,2014,767145.57005955
Int. Shipping,2014,624493.37176579
Iran (Islamic Republic of),2014,618197.218823787
Republic of Korea,2014,610065.602901085
Canada,2014,565991.534031825
Brazil,2014,501102.84965942
Saudi Arabia,2014,494822.166091783
Int. Aviation,2014,492174.609510363
Mexico,2014,456269.587052267
Indonesia,2014,452976.605406555
United Kingdom,2014,415420.915302264
Australia,2014,409398.521553622
South Africa,2014,392718.89752388
Turkey,2014,353194.457200812
Italy,2014,337648.000740923
France,2014,323744.030824797
Poland,2014,298130.938480823
"China, Taiwan Province of",2014,276674.736811233
Thailand,2014,271978.308022783
Ukraine,2014,249065.261234118
Spain,2014,241636.891478818
Kazakhstan,2014,236247.885229335
Malaysia,2014,227481.823595195
Egypt,2014,225111.503391494
United Arab Emirates,2014,201052.1846711
Argentina,2014,199042.924507422
Venezuela (Bolivarian Republic of),2014,195212.9716428
Viet Nam,2014,190221.789619572
Pakistan,2014,158111.777369439
Netherlands,2014,158106.077990469
Algeria,2014,141473.21602431
Iraq,2014,139286.638873446
Uzbekistan,2014,122621.185317847
Czech Republic,2014,111654.714407735
Kuwait,2014,98558.5880728932
Belgium,2014,97211.9513655013
Philippines,2014,96940.3052995633
Nigeria,2014,93871.8291452288
Qatar,2014,88750.7230641749
Chile,2014,78626.292098661
Romania,2014,78288.5913264737
Oman,2014,74288.4673820622
Colombia,2014,74053.5617946309
Greece,2014,71061.5999967362
Turkmenistan,2014,70561.0147542534
Austria,2014,69807.7209500602
Belarus,2014,67736.5822374966
Bangladesh,2014,66471.0080801603
Israel,2014,64795.1214629766
Morocco,2014,60653.1045465936
Democratic People s Republic of Korea,2014,59858.5944435673
Serbia and Montenegro,2014,59250.1282258015
Finland,2014,54792.9856450341
Syrian Arab Republic,2014,52681.2724471067
Peru,2014,51959.4109454017
Bulgaria,2014,51196.0752838141
Libya,2014,50604.0123391109
"China, Hong Kong SAR",2014,49916.9879764546
Portugal,2014,48255.4915165523
Singapore,2014,47786.2998484906
Norway,2014,44375.8545881039
Sweden,2014,44313.7281895466
Hungary,2014,43734.7675850554
Ecuador,2014,43026.9257409132
Switzerland,2014,40229.1658126016
Denmark,2014,40030.2963547593
Slovakia,2014,34684.550157035
Ireland,2014,34638.7783029577
New Zealand,2014,34106.2757909211
Trinidad and Tobago,2014,34017.4666675827
Azerbaijan,2014,31727.8498844978
Cuba,2014,30242.2978188094
Angola,2014,25013.1531934345
Tunisia,2014,24277.7161552831
Bosnia and Herzegovina,2014,23640.7554922337
Dominican Republic,2014,23442.4427639671
Yemen,2014,22553.1853974731
Jordan,2014,22295.9032779696
Lebanon,2014,21107.9833090444
Croatia,2014,20677.4572078665
Bahrain,2014,20522.2163364227
Estonia,2014,19439.9306394378
Bolivia (Plurinational State of),2014,17793.0319849302
Sudan (former),2014,17266.7288381391
Slovenia,2014,16672.8895273848
Sri Lanka,2014,16647.7379170225
Mongolia,2014,14695.7446419912
Kenya,2014,14083.8578961172
Ghana,2014,14070.1091205731
Zimbabwe,2014,13135.3960173761
Lithuania,2014,12349.223902701
Guatemala,2014,11953.3316712667
Luxembourg,2014,10378.1550018085
Panama,2014,10230.3992717384
The former Yugoslav Republic of Macedonia,2014,9491.21531436192
Cameroon,2014,9178.7499006557
Myanmar,2014,9128.59929914807
United Republic of Tanzania,2014,9083.71765323674
Ethiopia,2014,8857.52383913881
Honduras,2014,8447.18611253032
Jamaica,2014,8297.83445095978
Senegal,2014,8189.47244614515
Uruguay,2014,8113.9935504623
Afghanistan,2014,7873.20740003042
Republic of Moldova,2014,7765.27368240727
Costa Rica,2014,7641.48166251116
Latvia,2014,7531.00646181526
Brunei Darussalam,2014,7412.12019511237
Kyrgyzstan,2014,7369.77711679269
Côte d Ivoire,2014,7325.78322663602
Cyprus,2014,7237.08051698717
El Salvador,2014,7161.47176476675
Papua New Guinea,2014,7118.39121906795
Georgia,2014,6537.24633945752
Nepal,2014,6502.60011655795
Netherlands Antilles,2014,6464.24691259488
Benin,2014,5761.83167098662
Botswana,2014,5694.5736551869
Paraguay,2014,5526.06108206106
Congo,2014,5067.71046864699
Gabon,2014,5026.87424585044
Nicaragua,2014,4991.46235754238
Uganda,2014,4891.80670102105
Cambodia,2014,4760.29426377483
Armenia,2014,4457.01649571006
Mozambique,2014,4382.32849804472
Bahamas,2014,4232.01328419018
Albania,2014,4031.7731595827
Democratic Republic of the Congo,2014,3984.36055792263
Iceland,2014,3848.86076762884
Tajikistan,2014,3647.21108150545
Namibia,2014,3559.71196702266
Lao People s Democratic Republic,2014,3373.72562302433
Zambia,2014,3367.05738594567
Mauritius,2014,3270.42208553571
Madagascar,2014,3015.26369188415
Guyana,2014,2757.97611878978
Mauritania,2014,2467.52425097248
"China, Macao SAR",2014,2450.02867814246
Burkina Faso,2014,2444.4392786885
Malta,2014,2413.03200132535
Martinique,2014,2337.61012303359
Haiti,2014,2287.76116460167
Suriname,2014,2161.5161717876
Guadeloupe,2014,2146.38694606768
Togo,2014,2133.71101311926
Equatorial Guinea,2014,2096.09381979335
Niger,2014,2053.15696327363
Guinea,2014,2038.79835129481
New Caledonia,2014,1861.50967207111
Malawi,2014,1775.37785649886
Mali,2014,1638.57790744367
Djibouti,2014,1442.24558517692
Bhutan,2014,1441.72014085034
Barbados,2014,1359.50273994358
Fiji,2014,1344.93775950706
Rwanda,2014,1341.83321889563
Somalia,2014,1277.88368352003
Chad,2014,1273.58297323857
French Guiana,2014,1271.12238383154
Sierra Leone,2014,1268.11796790227
Burundi,2014,1227.35442724644
Réunion,2014,1141.97013555936
Maldives,2014,972.478898500589
Belize,2014,958.689094405624
Liberia,2014,807.672898086714
French Polynesia,2014,792.872588701641
Central African Republic,2014,736.662764917644
Eritrea,2014,671.941994681745
Swaziland,2014,658.504917298079
Puerto Rico,2014,592.644337019635
Bermuda,2014,551.927985267456
Saint Lucia,2014,551.14284346618
Seychelles,2014,544.019575714996
Grenada,2014,477.256431188174
Gibraltar,2014,467.670367857859
Antigua and Barbuda,2014,442.9813075448
Timor-Leste,2014,361.049904622185
Cayman Islands,2014,351.080962673579
Lesotho,2014,322.881332355765
Guinea-Bissau,2014,322.352506642057
Saint Vincent and the Grenadines,2014,311.141253657192
Aruba,2014,305.029790385793
Montserrat,2014,297.578436610874
Solomon Islands,2014,276.165087374632
Gambia,2014,259.363981056796
Western Sahara,2014,207.415070941973
Tonga,2014,204.141845945779
Saint Kitts and Nevis,2014,174.2049166939
Dominica,2014,166.489140643494
Samoa,2014,134.560987755432
Comoros,2014,113.690680649366
Vanuatu,2014,110.521323418413
Cabo Verde,2014,104.1357013062
British Virgin Islands,2014,85.6482994171378
Sao Tome and Principe,2014,60.0151203433844
Turks and Caicos Islands,2014,56.1477861244536
Kiribati,2014,41.97750829427
Falkland Islands (Malvinas),2014,41.8988786417636
Palau,2014,32.8788803613859
Cook Islands,2014,29.4297530417691
Anguilla,2014,26.3006895577445
American Samoa,2014,19.6143931127974
Saint Helena,2014,13.0904806966004
Guam,2014,12.3823720324398
Saint Pierre and Miquelon,2014,7.58242134782743
Greenland,2014,2.46510542276205
Faroe Islands,2014,1.92588450822932
United States Virgin Islands,2014,1.48964422343289
Nauru,2014,1.10812599557564
Tuvalu,2014,0.560071542020091
